Temps	Consigne	Mesure
0	0	34.3000000000000
29.9998077300000	0	34.7200000000000
59.9996154700000	0	35.5800000000000
89.9994238300000	0	37.9800000000000
119.999231600000	0	45.6600000000000
149.999039900000	0	61.1200000000000
179.998847700000	0	76.7600000000000
209.998656000000	0	95.4600000000000
239.998463800000	114.833300000000	112.600000000000
269.998271500000	134.833300000000	125.520000000000
299.998079800000	154.833300000000	146.600000000000
329.997887600000	174.166700000000	173.160000000000
359.997695900000	194.166700000000	192.480000000000
389.996639900000	214.166700000000	208.640000000000
419.996447700000	233.766700000000	228.120000000000
449.996256000000	250.100000000000	248.400000000000
479.996063700000	250.600000000000	254.580000000000
509.995871500000	251.100000000000	232.860000000000
539.995679800000	251.586700000000	244.840000000000
569.995487600000	252.083300000000	256.060000000000
599.995295900000	252.583300000000	252.760000000000
629.995103700000	253.083300000000	248.080000000000
659.994911400000	253.566700000000	248.820000000000
689.994719800000	254.066700000000	250.500000000000
719.994527500000	254.566700000000	250.480000000000
749.994335900000	255.056700000000	250.600000000000
779.993279800000	255.550000000000	251.220000000000
809.993087600000	256.050000000000	251.500000000000
839.992895900000	256.550000000000	252.500000000000
869.992703700000	257.033300000000	252.960000000000
899.992512000000	257.533300000000	253.300000000000
929.992319800000	258.033300000000	253.800000000000
959.992127500000	258.533300000000	254.240000000000
989.991935900000	259.016700000000	254.680000000000
1019.99174400000	259.516700000000	255.120000000000
1049.99155200000	260.016700000000	255.660000000000
1079.99136000000	260.513300000000	256.180000000000
1109.99116700000	261	256.500000000000
1139.99097600000	261.500000000000	257
1169.99078400000	262	257.520000000000
1199.98972700000	262.500000000000	258.180000000000
1229.98953600000	262.983300000000	258.860000000000
1259.99020800000	263.483300000000	258.800000000000
1289.98915200000	263.983300000000	259.240000000000
1319.98896000000	264.475000000000	259.950000000000
1349.98876700000	264.958300000000	260.375000000000
1379.98944000000	265.458300000000	260.800000000000
1409.98924800000	265.958300000000	261.300000000000
1439.98905600000	266.441700000000	261.800000000000
1469.98886400000	266.933300000000	262.260000000000
1499.98867200000	267.433300000000	262.740000000000
1529.98847900000	267.916700000000	263.160000000000
1559.98828800000	268.416700000000	263.720000000000
1590.00105600000	268.916700000000	264.100000000000
1620.00086400000	269.416700000000	264.600000000000
