X	Y
0.000000	-0.037277
0.000991	-0.037083
0.001982	-0.037159
0.002973	-0.037160
0.003963	-0.037135
0.004954	-0.037055
0.005945	-0.036960
0.006936	-0.036924
0.007927	-0.036881
0.008918	-0.036828
0.009909	-0.036835
0.010899	-0.036903
0.011890	-0.036933
0.012881	-0.037014
0.013872	-0.037246
0.014863	-0.037456
0.015854	-0.037498
0.016845	-0.037498
0.017835	-0.037406
0.018826	-0.037260
0.019817	-0.037177
0.020808	-0.037135
0.021799	-0.037037
0.022790	-0.037093
0.023781	-0.037150
0.024771	-0.037136
0.025762	-0.037104
0.026753	-0.037111
0.027744	-0.037061
0.028735	-0.036913
0.029726	-0.036676
0.030717	-0.036451
0.031707	-0.036302
0.032698	-0.036292
0.033689	-0.036256
0.034680	-0.036023
0.035671	-0.035783
0.036662	-0.035738
0.037653	-0.035793
0.038643	-0.035778
0.039634	-0.035782
0.040625	-0.035962
0.041616	-0.036121
0.042607	-0.036130
0.043598	-0.036080
0.044589	-0.036089
0.045579	-0.036130
0.046570	-0.036159
0.047561	-0.036105
0.048552	-0.036061
0.049543	-0.036095
0.050534	-0.036304
0.051525	-0.036636
0.052515	-0.036908
0.053506	-0.036879
0.054497	-0.036679
0.055488	-0.036460
0.056479	-0.036317
0.057470	-0.036226
0.058461	-0.036257
0.059451	-0.036317
0.060442	-0.036290
0.061433	-0.036157
0.062424	-0.036062
0.063415	-0.036121
0.064406	-0.036293
0.065397	-0.036439
0.066387	-0.036554
0.067378	-0.036598
0.068369	-0.036556
0.069360	-0.036411
0.070351	-0.036305
0.071342	-0.036239
0.072333	-0.036220
0.073323	-0.036211
0.074314	-0.036166
0.075305	-0.036198
0.076296	-0.036238
0.077287	-0.036223
0.078278	-0.036371
0.079269	-0.036564
0.080259	-0.036672
0.081250	-0.036650
0.082241	-0.036580
0.083232	-0.036573
0.084223	-0.036551
0.085214	-0.036344
0.086205	-0.036038
0.087195	-0.035846
0.088186	-0.035747
0.089177	-0.035605
0.090168	-0.035524
0.091159	-0.035642
0.092150	-0.035933
0.093140	-0.036111
0.094131	-0.036102
0.095122	-0.036069
0.096113	-0.036052
0.097104	-0.036037
0.098095	-0.036117
0.099086	-0.036259
0.100076	-0.036356
0.101067	-0.036466
0.102058	-0.036644
0.103049	-0.036658
0.104040	-0.036623
0.105031	-0.036697
0.106022	-0.036891
0.107012	-0.037021
0.108003	-0.037006
0.108994	-0.036899
0.109985	-0.036767
0.110976	-0.036621
0.111967	-0.036583
0.112958	-0.036510
0.113948	-0.036335
0.114939	-0.036124
0.115930	-0.036000
0.116921	-0.035971
0.117912	-0.036052
0.118903	-0.036247
0.119894	-0.036591
0.120884	-0.036901
0.121875	-0.036885
0.122866	-0.036592
0.123857	-0.036326
0.124848	-0.036163
0.125839	-0.036117
0.126830	-0.036166
0.127820	-0.036293
0.128811	-0.036383
0.129802	-0.036455
0.130793	-0.036522
0.131784	-0.036628
0.132775	-0.036717
0.133766	-0.036763
0.134756	-0.036770
0.135747	-0.036798
0.136738	-0.036845
0.137729	-0.036900
0.138720	-0.036958
0.139711	-0.036945
0.140702	-0.036839
0.141692	-0.036768
0.142683	-0.036788
0.143674	-0.036901
0.144665	-0.036984
0.145656	-0.036921
0.146647	-0.036786
0.147638	-0.036708
0.148628	-0.036722
0.149619	-0.036777
0.150610	-0.036727
0.151601	-0.036609
0.152592	-0.036597
0.153583	-0.036729
0.154574	-0.036826
0.155564	-0.036868
0.156555	-0.036873
0.157546	-0.036800
0.158537	-0.036710
0.159528	-0.036703
0.160519	-0.036716
0.161510	-0.036626
0.162500	-0.036432
0.163491	-0.036270
0.164482	-0.036221
0.165473	-0.036258
0.166464	-0.036229
0.167455	-0.036076
0.168446	-0.035960
0.169436	-0.036037
0.170427	-0.036146
0.171418	-0.036243
0.172409	-0.036339
0.173400	-0.036440
0.174391	-0.036515
0.175382	-0.036484
0.176372	-0.036286
0.177363	-0.036109
0.178354	-0.036058
0.179345	-0.036121
0.180336	-0.036233
0.181327	-0.036280
0.182318	-0.036234
0.183308	-0.036228
0.184299	-0.036284
0.185290	-0.036376
0.186281	-0.036454
0.187272	-0.036508
0.188263	-0.036520
0.189254	-0.036474
0.190244	-0.036451
0.191235	-0.036524
0.192226	-0.036594
0.193217	-0.036635
0.194208	-0.036666
0.195199	-0.036653
0.196190	-0.036593
0.197180	-0.036544
0.198171	-0.036566
0.199162	-0.036709
0.200153	-0.036758
0.201144	-0.036596
0.202135	-0.036431
0.203126	-0.036364
0.204116	-0.036426
0.205107	-0.036656
0.206098	-0.036881
0.207089	-0.036987
0.208080	-0.036975
0.209071	-0.036883
0.210062	-0.036789
0.211052	-0.036778
0.212043	-0.036884
0.213034	-0.036985
0.214025	-0.036933
0.215016	-0.036790
0.216007	-0.036664
0.216998	-0.036590
0.217988	-0.036543
0.218979	-0.036530
0.219970	-0.036634
0.220961	-0.036828
0.221952	-0.036945
0.222943	-0.036956
0.223934	-0.036954
0.224924	-0.036930
0.225915	-0.036864
0.226906	-0.036803
0.227897	-0.036728
0.228888	-0.036617
0.229879	-0.036578
0.230870	-0.036698
0.231860	-0.036862
0.232851	-0.036916
0.233842	-0.036889
0.234833	-0.036911
0.235824	-0.037070
0.236815	-0.037263
0.237806	-0.037401
0.238796	-0.037424
0.239787	-0.037306
0.240778	-0.037120
0.241769	-0.036915
0.242760	-0.036749
0.243751	-0.036660
0.244742	-0.036602
0.245732	-0.036571
0.246723	-0.036580
0.247714	-0.036581
0.248705	-0.036545
0.249696	-0.036491
0.250687	-0.036473
0.251678	-0.036549
0.252668	-0.036696
0.253659	-0.036871
0.254650	-0.036918
0.255641	-0.036791
0.256632	-0.036655
0.257623	-0.036575
0.258614	-0.036517
0.259604	-0.036438
0.260595	-0.036328
0.261586	-0.036261
0.262577	-0.036271
0.263568	-0.036290
0.264559	-0.036242
0.265550	-0.036211
0.266540	-0.036237
0.267531	-0.036253
0.268522	-0.036262
0.269513	-0.036267
0.270504	-0.036262
0.271495	-0.036289
0.272485	-0.036361
0.273476	-0.036455
0.274467	-0.036501
0.275458	-0.036442
0.276449	-0.036365
0.277440	-0.036338
0.278431	-0.036310
0.279421	-0.036254
0.280412	-0.036181
0.281403	-0.036155
0.282394	-0.036183
0.283385	-0.036259
0.284376	-0.036367
0.285367	-0.036445
0.286357	-0.036397
0.287348	-0.036255
0.288339	-0.036114
0.289330	-0.036056
0.290321	-0.036064
0.291312	-0.036052
0.292303	-0.035995
0.293293	-0.035983
0.294284	-0.036008
0.295275	-0.036023
0.296266	-0.036024
0.297257	-0.036017
0.298248	-0.036034
0.299239	-0.036143
0.300229	-0.036296
0.301220	-0.036383
0.302211	-0.036392
0.303202	-0.036356
0.304193	-0.036335
0.305184	-0.036516
0.306175	-0.036799
0.307165	-0.036939
0.308156	-0.036998
0.309147	-0.037035
0.310138	-0.037059
0.311129	-0.037042
0.312120	-0.036956
0.313111	-0.036948
0.314101	-0.036961
0.315092	-0.036972
0.316083	-0.037002
0.317074	-0.036969
0.318065	-0.036779
0.319056	-0.036522
0.320047	-0.036324
0.321037	-0.036239
0.322028	-0.036237
0.323019	-0.036304
0.324010	-0.036345
0.325001	-0.036335
0.325992	-0.036266
0.326983	-0.036173
0.327973	-0.036113
0.328964	-0.036124
0.329955	-0.036178
0.330946	-0.036295
0.331937	-0.036349
0.332928	-0.036255
0.333919	-0.036112
0.334909	-0.035966
0.335900	-0.035902
0.336891	-0.036012
0.337882	-0.036249
0.338873	-0.036427
0.339864	-0.036388
0.340855	-0.036269
0.341845	-0.036242
0.342836	-0.036373
0.343827	-0.036498
0.344818	-0.036527
0.345809	-0.036447
0.346800	-0.036278
0.347791	-0.036102
0.348781	-0.035948
0.349772	-0.035777
0.350763	-0.035670
0.351754	-0.035658
0.352745	-0.035730
0.353736	-0.035788
0.354727	-0.035786
0.355717	-0.035793
0.356708	-0.035891
0.357699	-0.035993
0.358690	-0.035999
0.359681	-0.035907
0.360672	-0.035848
0.361663	-0.035888
0.362653	-0.035996
0.363644	-0.036012
0.364635	-0.035910
0.365626	-0.035791
0.366617	-0.035687
0.367608	-0.035571
0.368599	-0.035503
0.369589	-0.035497
0.370580	-0.035522
0.371571	-0.035463
0.372562	-0.035399
0.373553	-0.035447
0.374544	-0.035578
0.375535	-0.035622
0.376525	-0.035541
0.377516	-0.035472
0.378507	-0.035487
0.379498	-0.035476
0.380489	-0.035404
0.381480	-0.035355
0.382471	-0.035489
0.383461	-0.035803
0.384452	-0.036220
0.385443	-0.036506
0.386434	-0.036575
0.387425	-0.036618
0.388416	-0.036797
0.389407	-0.037038
0.390397	-0.036928
0.391388	-0.036721
0.392379	-0.036620
0.393370	-0.036484
0.394361	-0.036418
0.395352	-0.036367
0.396343	-0.036346
0.397333	-0.036407
0.398324	-0.036471
0.399315	-0.036543
0.400306	-0.036535
0.401297	-0.036453
0.402288	-0.036341
0.403279	-0.036309
0.404269	-0.036316
0.405260	-0.036223
0.406251	-0.036058
0.407242	-0.036002
0.408233	-0.035981
0.409224	-0.035911
0.410215	-0.035835
0.411205	-0.035849
0.412196	-0.035935
0.413187	-0.036069
0.414178	-0.036101
0.415169	-0.035953
0.416160	-0.035697
0.417151	-0.035444
0.418141	-0.035239
0.419132	-0.035042
0.420123	-0.034786
0.421114	-0.034500
0.422105	-0.034190
0.423096	-0.033861
0.424087	-0.033469
0.425077	-0.032999
0.426068	-0.032548
0.427059	-0.032227
0.428050	-0.031941
0.429041	-0.031509
0.430032	-0.031006
0.431023	-0.030557
