Temps	Consigne	Mesure
0	0	33.5000000000000
29.9998077331110	0	33.6800000000000
59.9996160948649	0	34.1800000000000
89.9994238279759	0	35.2600000000000
119.999231561087	0	37.3400000000000
149.999039922840	0	39.8400000000000
179.998847655951	0	43.6600000000000
209.998656017705	0	54.8200000000000
239.998463750816	0	68.2200000000000
269.998272112570	87.3333400000000	84.5600000000000
299.998079845681	107.333300000000	97.5800000000000
329.997887578792	127.333300000000	115.740000000000
359.997695940546	147.066700000000	139.560000000000
389.997503673657	166.666700000000	163.500000000000
419.997312035411	186.666700000000	185.500000000000
449.997119768522	206.666700000000	205.560000000000
479.996928130276	226	223.780000000000
509.997599618509	246	242.840000000000
539.997407980263	250.400000000000	257.240000000000
569.997215713374	250.883300000000	254.300000000000
599.997024075128	251.383300000000	249.460000000000
629.996831808239	251.883300000000	249.560000000000
659.996639541350	252.383300000000	251.740000000000
689.996447903104	252.866700000000	252.700000000000
719.996255636215	253.366700000000	252.500000000000
749.996063997969	253.866700000000	252.280000000000
779.995871731080	254.366700000000	252.300000000000
809.995680092833	254.844400000000	252.783300000000
839.995487825945	255.333300000000	253.320000000000
869.995295559056	255.841700000000	253.925000000000
899.995103920809	256.341700000000	254.350000000000
929.994911653921	256.820000000000	254.780000000000
959.994720015674	257.325000000000	255.116700000000
989.994527748785	257.816700000000	255.620000000000
1019.99433611053	258.316700000000	256.100000000000
1049.99500759877	258.800000000000	256.600000000000
1079.99481596052	259.300000000000	257.100000000000
1110.00672003719	259.800000000000	257.600000000000
1140.01948786899	260.300000000000	258.060000000000
1170.03225570078	260.783300000000	258.860000000000
1200.04415977746	261.283300000000	259.240000000000
1230.05692760925	261.783300000000	259.460000000000
1260.06969606969	262.276700000000	259.800000000000
1290.08246390148	262.766700000000	260.300000000000
1320.09436797816	263.266700000000	260.920000000000
1350.10022388305	263.766700000000	261.460000000000
1380.10003161616	264.253300000000	261.920000000000
1410.10070373304	264.750000000000	262.360000000000
1440.10051209479	265.250000000000	262.840000000000
1470.10031982790	265.750000000000	263.300000000000
