X	Y
0.000000	-0.048585
0.000991	-0.048314
0.001982	-0.048247
0.002973	-0.047992
0.003963	-0.047817
0.004954	-0.047721
0.005945	-0.047751
0.006936	-0.047833
0.007927	-0.047875
0.008918	-0.047883
0.009909	-0.048006
0.010899	-0.048169
0.011890	-0.048260
0.012881	-0.048299
0.013872	-0.048367
0.014863	-0.048448
0.015854	-0.048475
0.016845	-0.048370
0.017835	-0.048301
0.018826	-0.048371
0.019817	-0.048492
0.020808	-0.048529
0.021799	-0.048614
0.022790	-0.048674
0.023781	-0.048656
0.024771	-0.048517
0.025762	-0.048377
0.026753	-0.048339
0.027744	-0.048355
0.028735	-0.048404
0.029726	-0.048582
0.030717	-0.048708
0.031707	-0.048603
0.032698	-0.048370
0.033689	-0.048245
0.034680	-0.048232
0.035671	-0.048312
0.036662	-0.048378
0.037653	-0.048470
0.038643	-0.048645
0.039634	-0.048710
0.040625	-0.048601
0.041616	-0.048550
0.042607	-0.048628
0.043598	-0.048723
0.044589	-0.048710
0.045579	-0.048618
0.046570	-0.048563
0.047561	-0.048640
0.048552	-0.048737
0.049543	-0.048775
0.050534	-0.048722
0.051525	-0.048598
0.052515	-0.048435
0.053506	-0.048325
0.054497	-0.048309
0.055488	-0.048330
0.056479	-0.048268
0.057470	-0.048175
0.058461	-0.048125
0.059451	-0.048140
0.060442	-0.048150
0.061433	-0.048176
0.062424	-0.048305
0.063415	-0.048531
0.064406	-0.048733
0.065397	-0.048945
0.066387	-0.049119
0.067378	-0.049198
0.068369	-0.049114
0.069360	-0.048914
0.070351	-0.048695
0.071342	-0.048546
0.072333	-0.048481
0.073323	-0.048472
0.074314	-0.048436
0.075305	-0.048401
0.076296	-0.048370
0.077287	-0.048254
0.078278	-0.048098
0.079269	-0.047976
0.080259	-0.047908
0.081250	-0.047923
0.082241	-0.047889
0.083232	-0.047856
0.084223	-0.047981
0.085214	-0.048271
0.086205	-0.048427
0.087195	-0.048251
0.088186	-0.047969
0.089177	-0.047856
0.090168	-0.047772
0.091159	-0.047704
0.092150	-0.047701
0.093140	-0.047751
0.094131	-0.047733
0.095122	-0.047637
0.096113	-0.047580
0.097104	-0.047663
0.098095	-0.047785
0.099086	-0.047871
0.100076	-0.047886
0.101067	-0.047820
0.102058	-0.047742
0.103049	-0.047759
0.104040	-0.047825
0.105031	-0.047870
0.106022	-0.047778
0.107012	-0.047769
0.108003	-0.047905
0.108994	-0.048043
0.109985	-0.048218
0.110976	-0.048383
0.111967	-0.048436
0.112958	-0.048438
0.113948	-0.048509
0.114939	-0.048565
0.115930	-0.048483
0.116921	-0.048357
0.117912	-0.048283
0.118903	-0.048267
0.119894	-0.048349
0.120884	-0.048560
0.121875	-0.048799
0.122866	-0.048954
0.123857	-0.048983
0.124848	-0.048956
0.125839	-0.048941
0.126830	-0.048933
0.127820	-0.048924
0.128811	-0.048926
0.129802	-0.048966
0.130793	-0.049056
0.131784	-0.049126
0.132775	-0.049115
0.133766	-0.049045
0.134756	-0.049010
0.135747	-0.049035
0.136738	-0.049031
0.137729	-0.048882
0.138720	-0.048654
0.139711	-0.048527
0.140702	-0.048519
0.141692	-0.048546
0.142683	-0.048624
0.143674	-0.048785
0.144665	-0.048949
0.145656	-0.048970
0.146647	-0.048872
0.147638	-0.048788
0.148628	-0.048796
0.149619	-0.048900
0.150610	-0.049015
0.151601	-0.049003
0.152592	-0.048862
0.153583	-0.048728
0.154574	-0.048636
0.155564	-0.048552
0.156555	-0.048478
0.157546	-0.048425
0.158537	-0.048357
0.159528	-0.048276
0.160519	-0.048265
0.161510	-0.048329
0.162500	-0.048429
0.163491	-0.048598
0.164482	-0.048801
0.165473	-0.048916
0.166464	-0.048947
0.167455	-0.048937
0.168446	-0.048918
0.169436	-0.048937
0.170427	-0.048888
0.171418	-0.048769
0.172409	-0.048768
0.173400	-0.048876
0.174391	-0.048910
0.175382	-0.048822
0.176372	-0.048712
0.177363	-0.048627
0.178354	-0.048502
0.179345	-0.048333
0.180336	-0.048213
0.181327	-0.048215
0.182318	-0.048292
0.183308	-0.048302
0.184299	-0.048168
0.185290	-0.048022
0.186281	-0.047976
0.187272	-0.047986
0.188263	-0.048046
0.189254	-0.048234
0.190244	-0.048485
0.191235	-0.048623
0.192226	-0.048633
0.193217	-0.048581
0.194208	-0.048419
0.195199	-0.048168
0.196190	-0.047963
0.197180	-0.047868
0.198171	-0.047808
0.199162	-0.047775
0.200153	-0.047831
0.201144	-0.047975
0.202135	-0.048152
0.203126	-0.048310
