X	Y
1.859837	0.001963
1.860828	0.002046
1.861819	0.002126
1.862810	0.002207
1.863801	0.002286
1.864792	0.002365
1.865783	0.002443
1.866773	0.002522
1.867764	0.002603
1.868755	0.002690
1.869746	0.002777
1.870737	0.002861
1.871728	0.002939
1.872719	0.003019
1.873709	0.003102
1.874700	0.003188
1.875691	0.003271
1.876682	0.003351
1.877673	0.003427
1.878664	0.003498
1.879655	0.003557
1.880645	0.003621
1.881636	0.003698
1.882627	0.003777
1.883618	0.003847
1.884609	0.003913
1.885600	0.003975
1.886591	0.004040
1.887581	0.004107
1.888572	0.004174
1.889563	0.004240
1.890554	0.004307
1.891545	0.004377
1.892536	0.004447
1.893527	0.004514
1.894517	0.004583
1.895508	0.004652
1.896499	0.004721
1.897490	0.004786
1.898481	0.004850
1.899472	0.004911
1.900462	0.004972
1.901453	0.005029
1.902444	0.005081
1.903435	0.005129
1.904426	0.005176
1.905417	0.005225
1.906408	0.005278
1.907398	0.005334
1.908389	0.005391
1.909380	0.005447
1.910371	0.005502
1.911362	0.005559
1.912353	0.005616
1.913344	0.005672
1.914334	0.005726
1.915325	0.005780
1.916316	0.005837
1.917307	0.005893
1.918298	0.005951
1.919289	0.006007
1.920280	0.006061
1.921270	0.006114
1.922261	0.006168
1.923252	0.006219
1.924243	0.006270
1.925234	0.006319
1.926225	0.006368
1.927216	0.006417
1.928206	0.006463
1.929197	0.006506
1.930188	0.006548
1.931179	0.006593
1.932170	0.006639
1.933161	0.006686
1.934152	0.006733
1.935142	0.006780
1.936133	0.006829
1.937124	0.006877
1.938115	0.006928
1.939106	0.006980
1.940097	0.007030
1.941088	0.007077
1.942078	0.007122
1.943069	0.007167
1.944060	0.007210
1.945051	0.007253
1.946042	0.007296
1.947033	0.007340
1.948024	0.007386
1.949014	0.007434
1.950005	0.007482
1.950996	0.007529
1.951987	0.007573
1.952978	0.007616
1.953969	0.007659
1.954960	0.007701
1.955950	0.007745
1.956941	0.007792
1.957932	0.007842
1.958923	0.007895
1.959914	0.007944
1.960905	0.007988
1.961896	0.008030
1.962886	0.008071
1.963877	0.008113
1.964868	0.008155
1.965859	0.008195
1.966850	0.008235
1.967841	0.008274
1.968832	0.008314
1.969822	0.008353
1.970813	0.008394
1.971804	0.008437
1.972795	0.008479
1.973786	0.008520
1.974777	0.008562
1.975768	0.008602
1.976758	0.008641
1.977749	0.008679
1.978740	0.008719
1.979731	0.008762
1.980722	0.008807
1.981713	0.008848
1.982704	0.008887
1.983694	0.008923
1.984685	0.008961
1.985676	0.008998
1.986667	0.009035
1.987658	0.009071
1.988649	0.009107
1.989640	0.009140
1.990630	0.009173
1.991621	0.009205
1.992612	0.009237
1.993603	0.009269
1.994594	0.009302
1.995585	0.009335
1.996576	0.009369
1.997566	0.009403
1.998557	0.009435
1.999548	0.009465
2.000539	0.009494
2.001530	0.009523
2.002521	0.009556
2.003512	0.009591
2.004502	0.009629
2.005493	0.009662
2.006484	0.009691
2.007475	0.009718
2.008466	0.009748
2.009457	0.009775
2.010448	0.009799
2.011438	0.009820
2.012429	0.009842
2.013420	0.009866
2.014411	0.009893
2.015402	0.009920
2.016393	0.009948
2.017384	0.009976
2.018374	0.010006
2.019365	0.010036
2.020356	0.010070
2.021347	0.010100
2.022338	0.010132
2.023329	0.010165
2.024320	0.010201
2.025310	0.010235
2.026301	0.010269
2.027292	0.010299
2.028283	0.010329
2.029274	0.010355
2.030265	0.010379
2.031256	0.010402
2.032246	0.010426
2.033237	0.010451
2.034228	0.010479
2.035219	0.010507
2.036210	0.010538
2.037201	0.010568
2.038192	0.010600
2.039182	0.010629
2.040173	0.010663
2.041164	0.010698
2.042155	0.010731
2.043146	0.010760
2.044137	0.010789
2.045128	0.010817
2.046118	0.010845
2.047109	0.010869
2.048100	0.010895
2.049091	0.010916
2.050082	0.010935
2.051073	0.010956
2.052064	0.010980
2.053054	0.011001
2.054045	0.011023
2.055036	0.011042
2.056027	0.011060
2.057018	0.011076
2.058009	0.011096
2.059000	0.011117
2.059990	0.011140
2.060981	0.011161
2.061972	0.011183
2.062963	0.011203
2.063954	0.011225
2.064945	0.011247
2.065936	0.011269
2.066926	0.011288
2.067917	0.011307
2.068908	0.011328
2.069899	0.011353
2.070890	0.011374
2.071881	0.011395
2.072872	0.011416
2.073862	0.011439
2.074853	0.011458
2.075844	0.011478
2.076835	0.011496
2.077826	0.011520
2.078817	0.011541
2.079807	0.011561
2.080798	0.011580
2.081789	0.011602
2.082780	0.011621
2.083771	0.011640
2.084762	0.011659
2.085753	0.011681
2.086743	0.011700
2.087734	0.011722
2.088725	0.011742
2.089716	0.011762
2.090707	0.011781
2.091698	0.011802
2.092689	0.011820
2.093679	0.011837
2.094670	0.011851
2.095661	0.011868
2.096652	0.011886
2.097643	0.011907
2.098634	0.011926
2.099625	0.011944
2.100615	0.011960
2.101606	0.011976
2.102597	0.011991
2.103588	0.012011
2.104579	0.012030
2.105570	0.012049
2.106561	0.012066
2.107551	0.012087
2.108542	0.012109
2.109533	0.012133
2.110524	0.012154
2.111515	0.012174
2.112506	0.012193
2.113497	0.012213
2.114487	0.012230
2.115478	0.012249
2.116469	0.012266
2.117460	0.012284
2.118451	0.012300
2.119442	0.012316
2.120433	0.012330
2.121423	0.012346
2.122414	0.012362
2.123405	0.012380
2.124396	0.012396
2.125387	0.012413
2.126378	0.012431
2.127369	0.012452
2.128359	0.012471
2.129350	0.012489
2.130341	0.012506
2.131332	0.012523
2.132323	0.012539
2.133314	0.012557
2.134305	0.012574
2.135295	0.012590
2.136286	0.012603
2.137277	0.012620
2.138268	0.012639
2.139259	0.012660
2.140250	0.012678
2.141241	0.012695
2.142231	0.012708
2.143222	0.012721
2.144213	0.012735
2.145204	0.012755
2.146195	0.012774
2.147186	0.012792
2.148177	0.012809
2.149167	0.012828
2.150158	0.012845
2.151149	0.012863
2.152140	0.012876
2.153131	0.012889
2.154122	0.012901
2.155113	0.012914
2.156103	0.012928
2.157094	0.012945
2.158085	0.012960
2.159076	0.012972
2.160067	0.012981
2.161058	0.012993
2.162049	0.013006
2.163039	0.013023
2.164030	0.013039
2.165021	0.013055
2.166012	0.013070
2.167003	0.013087
2.167994	0.013100
2.168985	0.013113
2.169975	0.013126
2.170966	0.013141
2.171957	0.013154
2.172948	0.013168
2.173939	0.013182
2.174930	0.013197
2.175921	0.013209
2.176911	0.013221
2.177902	0.013232
2.178893	0.013243
2.179884	0.013254
2.180875	0.013269
2.181866	0.013280
2.182857	0.013290
2.183847	0.013300
2.184838	0.013311
2.185829	0.013318
2.186820	0.013329
2.187811	0.013341
2.188802	0.013355
2.189793	0.013366
2.190783	0.013380
2.191774	0.013393
2.192765	0.013409
2.193756	0.013424
2.194747	0.013441
2.195738	0.013456
2.196729	0.013470
2.197719	0.013479
2.198710	0.013490
2.199701	0.013498
2.200692	0.013506
2.201683	0.013514
2.202674	0.013528
2.203665	0.013541
2.204655	0.013555
2.205646	0.013565
2.206637	0.013575
2.207628	0.013584
2.208619	0.013597
2.209610	0.013608
2.210601	0.013620
2.211591	0.013630
2.212582	0.013642
2.213573	0.013652
2.214564	0.013664
2.215555	0.013675
2.216546	0.013688
2.217537	0.013700
2.218527	0.013713
2.219518	0.013723
2.220509	0.013733
2.221500	0.013739
2.222491	0.013748
2.223482	0.013759
2.224473	0.013770
2.225463	0.013778
2.226454	0.013789
2.227445	0.013800
2.228436	0.013811
2.229427	0.013821
2.230418	0.013834
2.231409	0.013847
2.232399	0.013860
2.233390	0.013869
2.234381	0.013879
2.235372	0.013885
2.236363	0.013894
2.237354	0.013903
2.238345	0.013913
2.239335	0.013921
2.240326	0.013930
2.241317	0.013938
2.242308	0.013949
2.243299	0.013959
2.244290	0.013970
2.245281	0.013980
2.246271	0.013990
2.247262	0.013998
2.248253	0.014007
2.249244	0.014016
2.250235	0.014026
2.251226	0.014034
2.252217	0.014047
2.253207	0.014059
2.254198	0.014071
2.255189	0.014080
2.256180	0.014091
2.257171	0.014099
2.258162	0.014107
2.259152	0.014113
2.260143	0.014120
2.261134	0.014128
2.262125	0.014139
2.263116	0.014147
2.264107	0.014156
2.265098	0.014164
2.266088	0.014174
2.267079	0.014184
