X	Y
1.316848	-0.011405
1.317839	-0.011266
1.318830	-0.011131
1.319821	-0.011000
1.320812	-0.010866
1.321802	-0.010724
1.322793	-0.010575
1.323784	-0.010429
1.324775	-0.010283
1.325766	-0.010131
1.326757	-0.009970
1.327748	-0.009812
1.328738	-0.009659
1.329729	-0.009514
1.330720	-0.009370
1.331711	-0.009223
1.332702	-0.009077
1.333693	-0.008935
1.334684	-0.008795
1.335674	-0.008652
1.336665	-0.008503
1.337656	-0.008347
1.338647	-0.008189
1.339638	-0.008030
1.340629	-0.007869
1.341620	-0.007714
1.342610	-0.007559
1.343601	-0.007398
1.344592	-0.007236
1.345583	-0.007076
1.346574	-0.006917
1.347565	-0.006753
1.348556	-0.006591
1.349546	-0.006441
1.350537	-0.006292
1.351528	-0.006135
1.352519	-0.005974
1.353510	-0.005808
1.354501	-0.005638
1.355491	-0.005469
1.356482	-0.005308
1.357473	-0.005149
1.358464	-0.004993
1.359455	-0.004838
1.360446	-0.004689
1.361437	-0.004548
1.362427	-0.004413
1.363418	-0.004271
1.364409	-0.004116
1.365400	-0.003950
1.366391	-0.003784
1.367382	-0.003619
1.368373	-0.003453
1.369363	-0.003280
1.370354	-0.003107
1.371345	-0.002937
1.372336	-0.002771
1.373327	-0.002602
1.374318	-0.002430
1.375309	-0.002261
1.376299	-0.002094
1.377290	-0.001925
1.378281	-0.001758
1.379272	-0.001596
1.380263	-0.001436
1.381254	-0.001274
1.382245	-0.001111
1.383235	-0.000945
1.384226	-0.000780
1.385217	-0.000615
1.386208	-0.000447
1.387199	-0.000277
1.388190	-0.000106
1.389181	0.000062
1.390171	0.000230
1.391162	0.000402
1.392153	0.000579
1.393144	0.000754
1.394135	0.000925
1.395126	0.001089
1.396117	0.001251
1.397107	0.001416
1.398098	0.001581
1.399089	0.001744
1.400080	0.001905
1.401071	0.002066
1.402062	0.002226
1.403053	0.002388
1.404043	0.002551
1.405034	0.002713
1.406025	0.002870
1.407016	0.003026
1.408007	0.003182
1.408998	0.003340
1.409989	0.003501
1.410979	0.003662
1.411970	0.003823
1.412961	0.003984
1.413952	0.004144
1.414943	0.004300
1.415934	0.004452
1.416925	0.004603
1.417915	0.004754
1.418906	0.004906
1.419897	0.005061
1.420888	0.005216
1.421879	0.005367
1.422870	0.005515
1.423861	0.005664
1.424851	0.005810
1.425842	0.005950
1.426833	0.006087
1.427824	0.006223
1.428815	0.006361
1.429806	0.006501
1.430797	0.006645
1.431787	0.006792
1.432778	0.006942
1.433769	0.007088
1.434760	0.007234
1.435751	0.007383
1.436742	0.007533
1.437733	0.007676
1.438723	0.007813
1.439714	0.007948
1.440705	0.008084
1.441696	0.008217
1.442687	0.008348
1.443678	0.008477
1.444669	0.008608
1.445659	0.008741
1.446650	0.008875
1.447641	0.009008
1.448632	0.009139
1.449623	0.009266
1.450614	0.009392
1.451605	0.009521
1.452595	0.009652
1.453586	0.009782
1.454577	0.009909
1.455568	0.010035
1.456559	0.010165
1.457550	0.010296
1.458541	0.010426
1.459531	0.010553
1.460522	0.010679
1.461513	0.010802
1.462504	0.010923
1.463495	0.011039
1.464486	0.011150
1.465477	0.011257
1.466467	0.011365
1.467458	0.011477
1.468449	0.011594
1.469440	0.011711
1.470431	0.011821
1.471422	0.011926
1.472413	0.012032
1.473403	0.012140
1.474394	0.012247
1.475385	0.012356
1.476376	0.012466
1.477367	0.012579
1.478358	0.012688
1.479349	0.012794
1.480339	0.012899
1.481330	0.013004
1.482321	0.013105
1.483312	0.013205
1.484303	0.013307
1.485294	0.013411
1.486285	0.013513
1.487275	0.013609
1.488266	0.013702
1.489257	0.013794
