X	Y
1.713191	0.020277
1.714182	0.020291
1.715172	0.020308
1.716163	0.020328
1.717154	0.020347
1.718145	0.020365
1.719136	0.020387
1.720127	0.020411
1.721117	0.020431
1.722108	0.020451
1.723099	0.020475
1.72409	0.020503
1.725081	0.020527
1.726072	0.020548
1.727063	0.020569
1.728053	0.020582
1.729044	0.020601
1.730035	0.020637
1.731026	0.020672
1.732017	0.020692
1.733008	0.020714
1.733999	0.020742
1.734989	0.020765
1.73598	0.020786
1.736971	0.020814
1.737962	0.020852
1.738953	0.020886
1.739944	0.020907
1.740935	0.020932
1.741925	0.020966
1.742916	0.020995
1.743907	0.021019
1.744898	0.02105
1.745889	0.021088
1.74688	0.021122
1.747871	0.021153
1.748861	0.021187
1.749852	0.021226
1.750843	0.021263
1.751834	0.021288
1.752825	0.021317
1.753816	0.02136
1.754807	0.021405
1.755797	0.021444
1.756788	0.021482
1.757779	0.021523
1.75877	0.021562
1.759761	0.021598
1.760752	0.021633
1.761743	0.021671
1.762733	0.02171
1.763724	0.021747
1.764715	0.02178
1.765706	0.021811
1.766697	0.021844
1.767688	0.021877
1.768679	0.02191
1.769669	0.021946
1.77066	0.02198
1.771651	0.022011
1.772642	0.02204
1.773633	0.022078
1.774624	0.022118
1.775615	0.022152
1.776605	0.022181
1.777596	0.022216
1.778587	0.022251
1.779578	0.022286
1.780569	0.022324
1.78156	0.022362
1.782551	0.022401
1.783541	0.022443
1.784532	0.022487
1.785523	0.022523
1.786514	0.022552
1.787505	0.022587
1.788496	0.022621
1.789487	0.022653
1.790477	0.022686
1.791468	0.022722
1.792459	0.022762
1.79345	0.022806
1.794441	0.022852
1.795432	0.022897
1.796423	0.022933
1.797413	0.022973
1.798404	0.023027
1.799395	0.02308
1.800386	0.023123
1.801377	0.023166
1.802368	0.023208
1.803359	0.023249
1.804349	0.023284
1.80534	0.023326
1.806331	0.023377
1.807322	0.023424
1.808313	0.023461
1.809304	0.0235
1.810295	0.023544
1.811285	0.023588
1.812276	0.02363
1.813267	0.023673
1.814258	0.023715
1.815249	0.023758
1.81624	0.023807
1.817231	0.023854
1.818221	0.023893
1.819212	0.023935
1.820203	0.023984
1.821194	0.024031
1.822185	0.024066
1.823176	0.024101
1.824167	0.024145
1.825157	0.024195
1.826148	0.024241
1.827139	0.024283
1.82813	0.024324
1.829121	0.024368
1.830112	0.024415
1.831103	0.024461
1.832093	0.024496
1.833084	0.024526
1.834075	0.024562
1.835066	0.024603
1.836057	0.024643
1.837048	0.024684
1.838039	0.024723
1.839029	0.02476
1.84002	0.024793
1.841011	0.024821
1.842002	0.024849
1.842993	0.024876
1.843984	0.024895
1.844975	0.024903
1.845965	0.02492
1.846956	0.024951
1.847947	0.02501
1.848938	0.025088
1.849929	0.025137
1.85092	0.025157
1.851911	0.025167
1.852901	0.025178
1.853892	0.025212
1.854883	0.025255
1.855874	0.025311
1.856865	0.025383
1.857856	0.025435
1.858847	0.025457
1.859837	0.025465
1.860828	0.025473
1.861819	0.025501
1.86281	0.025541
1.863801	0.025605
1.864792	0.025689
1.865783	0.025748
1.866773	0.025771
1.867764	0.025781
1.868755	0.025794
1.869746	0.025827
1.870737	0.02587
1.871728	0.025922
1.872719	0.025986
1.873709	0.026027
1.8747	0.026044
1.875691	0.026085
1.876682	0.026154
1.877673	0.026203
1.878664	0.026221
1.879655	0.026248
1.880645	0.026297
1.881636	0.026334
1.882627	0.026351
1.883618	0.026382
1.884609	0.026435
1.8856	0.026491
1.886591	0.026553
1.887581	0.026601
1.888572	0.026626
1.889563	0.026651
1.890554	0.026687
1.891545	0.026729
1.892536	0.026775
1.893527	0.026803
1.894517	0.026812
1.895508	0.026843
1.896499	0.026898
1.89749	0.026943
1.898481	0.026979
1.899472	0.027012
1.900462	0.027043
1.901453	0.027073
1.902444	0.027105
1.903435	0.027142
1.904426	0.027187
1.905417	0.02722
1.906408	0.027233
1.907398	0.027263
1.908389	0.027317
1.90938	0.027363
1.910371	0.027395
1.911362	0.027427
1.912353	0.027468
1.913344	0.027507
1.914334	0.02754
1.915325	0.027572
1.916316	0.027614
1.917307	0.027644
1.918298	0.027649
1.919289	0.02767
1.92028	0.027718
1.92127	0.027762
1.922261	0.027796
1.923252	0.027826
1.924243	0.027853
1.925234	0.027877
1.926225	0.027905
1.927216	0.027941
1.928206	0.027986
1.929197	0.028026
1.930188	0.028065
1.931179	0.028098
1.93217	0.028121
1.933161	0.028143
1.934152	0.028177
1.935142	0.028213
1.936133	0.028249
1.937124	0.028277
1.938115	0.028296
1.939106	0.028318
1.940097	0.028353
1.941088	0.028389
1.942078	0.028425
1.943069	0.028459
1.94406	0.028487
1.945051	0.028511
1.946042	0.028536
1.947033	0.028562
1.948024	0.028595
1.949014	0.028628
1.950005	0.028659
1.950996	0.02869
1.951987	0.028724
1.952978	0.028758
1.953969	0.028797
1.95496	0.028834
1.95595	0.028874
1.956941	0.028908
1.957932	0.028941
1.958923	0.028973
1.959914	0.02901
1.960905	0.029045
1.961896	0.029081
1.962886	0.029113
1.963877	0.029145
1.964868	0.029179
1.965859	0.02922
1.96685	0.029256
1.967841	0.029296
1.968832	0.02933
1.969822	0.02936
1.970813	0.029394
1.971804	0.029439
1.972795	0.029478
1.973786	0.029515
1.974777	0.029551
1.975768	0.02959
1.976758	0.029624
1.977749	0.029656
1.97874	0.029688
1.979731	0.029723
1.980722	0.029755
1.981713	0.029788
1.982704	0.029821
1.983694	0.029857
1.984685	0.029893
